Player,PositionCategory,Position,Height,Weight,Salary,Experience
Stephen Curry,G,PG,75,185,43006362.0,11
Chris Paul,G,PG,73,175,41358814.0,15
Russell Westbrook,G,PG,75,200,41358814.0,12
John Wall,G,PG,75,210,41254920.0,9
James Harden,G,SG,77,220,41254920.0,11
Kevin Durant,F,SF,82,240,40108950.0,12
LeBron James,F,SF,81,250,39219565.0,17
Blake Griffin,F,PF,81,250,36810996.0,10
Paul George,F,SF,80,220,35450412.0,10
Klay Thompson,G,SG,78,215,35361360.0,8
Mike Conley,G,PG,73,175,34502130.0,13
Kemba Walker,G,PG,72,184,34379100.0,9
Jimmy Butler,G,SG,79,230,34379100.0,9
Kawhi Leonard,F,SF,79,225,34379100.0,9
Tobias Harris,F,SF,80,226,34358850.0,9
Khris Middleton,F,SF,79,222,33051724.0,8
Anthony Davis,F,PF,82,253,32742000.0,8
Kyrie Irving,G,PG,74,195,31742000.0,9
Damian Lillard,G,PG,74,195,31626953.0,8
Kevin Love,F,PF,80,251,31258256.0,12
Pascal Siakam,F,PF,81,230,30559200.0,4
Ben Simmons,G,PG,82,240,30559200.0,3
Kyle Lowry,G,PG,72,196,30500000.0,14
Steven Adams,C,C,83,265,29592696.0,7
Nikola Jokic,C,C,84,284,29542010.0,5
Andrew Wiggins,F,SF,79,197,29542010.0,6
Joel Embiid,C,C,84,280,29542010.0,4
Kristaps Porzingis,F,PF,87,240,29467800.0,4
Karl-Anthony Towns,C,C,83,248,29467800.0,5
Devin Booker,G,SG,77,206,29467800.0,5
CJ McCollum,G,SG,75,190,29354152.0,7
Bradley Beal,G,SG,75,207,28751775.0,8
Andre Drummond,C,C,82,279,28751775.0,8
D'Angelo Russell,G,PG,76,193,28649250.0,5
Gordon Hayward,F,SF,79,225,28500000.0,10
Otto Porter Jr.,F,SF,80,198,28489237.0,7
DeMar DeRozan,G,SG,78,220,27739975.0,11
Giannis Antetokounmpo,F,PF,83,242,27528090.0,7
Rudy Gobert,C,C,85,258,27525281.0,7
Al Horford,F,PF,81,240,27500000.0,13
Jamal Murray,G,PG,76,215,27285000.0,4
Brandon Ingram,F,SF,79,190,27285000.0,4
Jrue Holiday,G,PG,75,205,26231111.0,11
Nikola Vucevic,C,C,83,260,26000000.0,9
Buddy Hield,G,SG,76,220,24701834.0,4
LaMarcus Aldridge,F,PF,83,250,24000000.0,14
Jaylen Brown,G,SG,78,223,23735118.0,4
Draymond Green,F,PF,78,230,22246956.0,8
Harrison Barnes,F,SF,80,225,22215909.0,8
Fred VanVleet,G,PG,73,197,21250000.0,4
Victor Oladipo,G,SG,76,213,21000000.0,7
Malcolm Brogdon,G,PG,77,229,20700000.0,4
Domantas Sabonis,C,C,83,240,19800000.0,4
Gary Harris,G,SG,76,210,19610714.0,6
Zach LaVine,G,PG,78,200,19500000.0,6
Danilo Gallinari,F,SF,82,233,19500000.0,11
Jerami Grant,F,SF,80,210,19050000.0,6
Tim Hardaway Jr.,F,SF,77,205,18975000.0,7
Julius Randle,F,PF,80,250,18900000.0,6
Terry Rozier,G,PG,73,190,18900000.0,5
Aaron Gordon,F,PF,80,235,18136364.0,6
Myles Turner,C,C,83,250,18000000.0,5
Goran Dragic,G,PG,75,190,18000000.0,12
Bogdan Bogdanovic,G,SG,78,220,18000000.0,3
Bojan Bogdanovic,F,SF,80,226,17850000.0,6
Gorgui Dieng,C,C,82,252,17287640.0,7
Evan Fournier,F,SF,79,205,17150000.0,8
Ricky Rubio,G,PG,75,190,17000000.0,9
Eric Bledsoe,G,PG,73,214,16875000.0,10
Eric Gordon,G,SG,75,215,16869276.0,12
Caris LeVert,G,SG,78,205,16203704.0,4
Joe Harris,F,SF,78,220,16071429.0,6
James Johnson,F,PF,79,240,16047100.0,11
Clint Capela,C,C,82,240,16000000.0,6
Dennis Schroder,G,PG,73,172,16000000.0,7
Cody Zeller,C,C,84,240,15415730.0,7
Danny Green,G,SG,78,215,15365853.0,11
Andre Iguodala,F,SF,78,215,15000000.0,16
Davis Bertans,F,SF,82,225,15000000.0,4
Jonas Valanciunas,C,C,83,265,15000000.0,8
Marcus Morris Sr.,F,PF,80,218,14888721.0,9
Rudy Gay,F,SF,80,250,14500000.0,14
Kelly Oubre Jr.,F,SF,79,203,14375000.0,5
Dejounte Murray,G,PG,76,180,14286000.0,3
Will Barton,G,SG,77,181,13723214.0,8
Thaddeus Young,F,PF,80,235,13545000.0,13
Patty Mills,G,PG,73,180,13535714.0,11
