Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
Arron Afflalo,SG,25,DEN,3,3,28.3,4.0,11.3,.353,1.0,4.0,.250,3.0,7.3,.409,.397,2.3,2.7,.875,0.0,3.0,3.0,2.3,0.0,0.0,1.0,3.3,11.3,2011
LaMarcus Aldridge,PF,25,POR,6,6,43.0,8.8,19.2,.461,0.0,0.0,,8.8,19.2,.461,.461,3.2,4.0,.792,2.7,4.8,7.5,1.3,1.3,1.7,1.5,3.2,20.8,2011
Malik Allen,PF,32,ORL,1,0,7.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,1.0,2.0,.500,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2011
Ray Allen*,SG,35,BOS,9,9,40.1,6.3,12.1,.523,3.6,6.2,.571,2.8,5.9,.472,.670,2.7,2.8,.960,0.6,3.2,3.8,2.4,1.2,0.1,1.1,2.3,18.9,2011
Tony Allen,SG,29,MEM,13,13,26.9,3.3,7.8,.426,0.1,0.5,.143,3.2,7.2,.447,.431,2.1,3.2,.659,1.2,1.8,2.9,1.5,1.9,0.4,1.8,3.3,8.8,2011
Chris Andersen,C,32,DEN,5,0,14.6,1.4,2.2,.636,0.0,0.0,,1.4,2.2,.636,.636,2.0,2.8,.714,1.0,1.8,2.8,0.6,0.6,1.4,0.6,1.6,4.8,2011
Ryan Anderson,PF,22,ORL,6,0,24.5,1.3,5.0,.267,1.0,3.3,.300,0.3,1.7,.200,.367,1.0,1.0,1.000,1.7,2.8,4.5,0.5,0.8,0.2,0.2,2.7,4.7,2011
Carmelo Anthony,SF,26,NYK,4,4,39.0,8.3,22.0,.375,2.3,6.5,.346,6.0,15.5,.387,.426,7.3,8.5,.853,3.3,7.0,10.3,4.8,1.3,0.8,3.3,4.0,26.0,2011
Joel Anthony,C,28,MIA,21,13,27.4,0.9,2.3,.367,0.0,0.0,,0.9,2.3,.367,.367,1.0,1.5,.710,1.7,3.0,4.6,0.5,0.4,1.8,0.6,2.6,2.8,2011
Gilbert Arenas,PG,29,ORL,5,0,16.2,3.6,8.4,.429,0.6,2.4,.250,3.0,6.0,.500,.464,0.8,1.2,.667,0.8,2.0,2.8,2.4,0.2,0.2,1.2,2.8,8.6,2011
Trevor Ariza,SF,25,NOH,6,6,40.2,5.8,14.2,.412,1.2,3.5,.333,4.7,10.7,.438,.453,2.7,3.7,.727,1.2,5.3,6.5,3.3,1.3,0.5,1.2,2.7,15.5,2011
Hilton Armstrong,C,26,ATL,8,0,4.4,0.1,0.6,.200,0.0,0.0,,0.1,0.6,.200,.200,0.4,0.8,.500,0.5,0.8,1.3,0.1,0.4,0.0,0.3,0.9,0.6,2011
Darrell Arthur,PF,22,MEM,13,0,15.5,3.0,6.5,.459,0.1,0.1,1.000,2.9,6.5,.452,.465,1.0,1.3,.765,1.1,1.2,2.2,0.5,0.5,0.9,0.9,2.3,7.1,2011
Ömer Aşık,C,24,CHI,15,0,9.9,0.4,0.9,.462,0.0,0.0,,0.4,0.9,.462,.462,0.2,0.7,.300,0.7,1.4,2.1,0.1,0.1,0.5,0.5,1.4,1.0,2011
J.J. Barea,PG,26,DAL,21,3,18.6,3.4,8.2,.419,0.8,2.4,.320,2.7,5.8,.459,.465,1.3,1.6,.794,0.4,1.5,1.9,3.4,0.3,0.0,1.1,1.3,8.9,2011
Matt Barnes,SF,30,LAL,10,0,13.1,1.5,3.8,.395,0.2,1.2,.167,1.3,2.6,.500,.421,0.4,0.7,.571,1.1,1.7,2.8,0.5,0.7,0.2,0.6,2.3,3.6,2011
Earl Barron,C,29,POR,1,0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011
Brandon Bass,PF,25,ORL,6,6,23.2,2.7,6.3,.421,0.0,0.0,,2.7,6.3,.421,.421,2.0,2.2,.923,2.0,2.2,4.2,0.3,0.5,0.8,1.2,1.2,7.3,2011
Tony Battie,C,34,PHI,5,0,7.6,0.6,1.4,.429,0.0,0.0,,0.6,1.4,.429,.429,0.2,0.4,.500,0.4,1.6,2.0,0.0,0.0,0.6,0.2,1.0,1.4,2011
Shane Battier,SF,32,MEM,13,0,26.1,2.2,5.1,.439,0.6,2.2,.276,1.6,2.8,.568,.500,0.5,0.7,.667,1.3,2.7,4.0,1.2,0.5,0.5,0.5,2.1,5.5,2011
Nicolas Batum,SF,22,POR,6,0,25.2,3.2,7.7,.413,1.2,4.3,.269,2.0,3.3,.600,.489,0.5,0.7,.750,0.2,1.5,1.7,1.3,0.8,0.8,1.2,2.3,8.0,2011
Marco Belinelli,SG,24,NOH,6,6,28.8,3.8,10.5,.365,1.3,4.3,.308,2.5,6.2,.405,.429,0.7,0.7,1.000,0.0,0.8,0.8,0.7,0.8,0.0,0.7,2.0,9.7,2011
