StadiumID,Active,Name,Address,City,State,Zip,Country,Capacity,GeoLat,GeoLong
1,True,Capital One Arena,601 F St. N.W.,Washington,DC,20004,USA,20290.0,38.898056,-77.020833
2,True,Spectrum Center,330 E. Trade St.,Charlotte,NC,28202,USA,19026.0,35.225,-80.839167
3,True,State Farm Arena,1 State Farm Drive,Atlanta,GA,30303,USA,18118.0,33.757222,-84.396389
4,True,American Airlines Arena,601 Biscayne Blvd.,Miami,FL,33132,USA,19600.0,25.781389,-80.188056
5,True,Amway Center,400 W. Church St.,Orlando,FL,32801,USA,18846.0,28.539167,-81.383611
6,True,Madison Square Garden,Four Pennsylvania Plaza,New York,NY,10001,USA,19812.0,40.750556,-73.993611
7,True,Wells Fargo Center,3601 S. Broad St.,Philadelphia,PA,19148,USA,20328.0,39.901111,-75.171944
8,True,Barclays Center,620 Atlantic Ave.,Brooklyn,NY,11217,USA,18200.0,40.682661,-73.975225
9,True,TD Garden,100 Legends Way,Boston,MA,2114,USA,17565.0,42.366303,-71.062228
10,True,Scotiabank Arena,40 Bay St.,Toronto,ON,M5J 2X2,CAN,19800.0,43.643333,-79.379167
11,True,United Center,1901 W. Madison St.,Chicago,IL,60612,USA,20917.0,41.880556,-87.674167
12,True,Rocket Mortgage FieldHouse,One Center Court,Cleveland,OH,44115,USA,20562.0,41.496389,-81.688056
13,True,Bankers Life Fieldhouse,125 S. Pennsylvania St.,Indianapolis,IN,46204,USA,18165.0,39.763889,-86.155556
14,True,Little Caesars Arena,2645 Woodward Ave,Detroit,MI,48201,USA,20491.0,42.551262,-83.217862
15,True,Fiserv Forum,1001 N Fourth St.,Milwaukee,WI,53203,USA,19000.0,43.043611,-87.916944
16,True,Target Center,600 First Ave. North,Minneapolis,MN,55403,USA,19356.0,44.979444,-93.276111
17,True,Vivint Smart Home Arena,301 W. South Temple St.,Salt Lake City,UT,84101,USA,19911.0,40.768333,-111.901111
18,True,Chesapeake Energy Arena,100 W. Reno Ave.,Oklahoma City,OK,73102,USA,18203.0,35.463333,-97.515
19,True,Moda Center,1 Center Court,Portland,OR,97227,USA,19980.0,45.531667,-122.666667
20,True,Ball Arena,1000 Chopper Circle,Denver,CO,80204,USA,19155.0,39.748611,-105.0075
21,True,FedEx Forum,191 Beale St.,Memphis,TN,38103,USA,18119.0,35.138333,-90.050556
